NO_OF_FRAMES	438
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:08:24.823	197801.91540150
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
65	0.64000	1406.643	-490.380	1371.754	1480.722	-517.095	1080.588	1644.816	-370.765	941.981	1777.571	-295.147	884.456	1699.359	-278.082	878.900
66	0.65000	1407.340	-490.465	1371.638	1481.357	-517.015	1080.429	1645.659	-370.669	942.077	1777.608	-294.072	884.323	1699.750	-277.773	878.989
67	0.66000	1408.003	-490.400	1371.448	1482.073	-516.958	1080.309	1646.281	-370.551	942.081	1777.724	-292.864	884.218	1700.067	-277.455	879.137
68	0.67000	1408.613	-490.326	1371.173	1482.669	-517.021	1080.195	1646.934	-370.322	942.077	1777.737	-291.903	884.060	1700.315	-276.890	879.408
69	0.68000	1409.208	-490.241	1370.951	1483.212	-517.011	1080.106	1647.636	-370.001	942.171	1777.685	-291.045	884.066	1700.568	-276.816	879.443
70	0.69000	1409.834	-490.313	1370.811	1483.725	-516.898	1079.897	1648.233	-369.877	942.164	1777.453	-289.905	883.816	1700.779	-276.707	879.438
71	0.70000	1410.435	-490.222	1370.643	1484.094	-516.844	1079.730	1648.692	-369.909	942.144	1776.739	-288.972	883.301	1701.074	-276.672	879.399
72	0.71000	1411.002	-490.163	1370.429	1484.527	-516.757	1079.469	1649.172	-369.895	942.116	1775.618	-288.154	882.550	1701.213	-276.533	879.473
73	0.72000	1411.468	-490.122	1370.242	1484.882	-516.790	1079.323	1649.592	-369.864	942.097	1774.058	-287.087	881.382	1701.421	-276.366	879.480
74	0.73000	1411.982	-490.108	1369.995	1485.201	-516.863	1079.103	1649.990	-369.862	942.031	1773.272	-286.546	880.852	1701.606	-276.209	879.438
75	0.74000	1412.442	-490.082	1369.851	1485.486	-516.893	1078.903	1650.245	-369.839	941.969	1773.028	-286.241	880.674	1701.791	-276.160	879.511
76	0.75000	1412.854	-490.073	1369.745	1485.660	-517.009	1078.711	1650.508	-369.776	941.920	1772.571	-285.860	880.226	1701.869	-276.065	879.498
77	0.76000	1413.328	-490.065	1369.681	1485.791	-517.126	1078.530	1650.734	-369.849	941.926	1772.319	-285.711	879.929	1701.926	-276.010	879.480
78	0.77000	1413.669	-490.096	1369.574	1485.955	-517.137	1078.265	1650.938	-369.941	941.932	1772.081	-285.501	879.742	1702.052	-276.003	879.455
79	0.78000	1413.972	-490.042	1369.439	1486.026	-517.347	1078.053	1651.104	-370.032	941.926	1771.888	-285.276	879.625	1702.016	-275.943	879.448
80	0.79000	1414.240	-490.101	1369.230	1486.069	-517.397	1077.876	1651.242	-370.052	941.922	1771.616	-285.199	879.411	1701.962	-275.954	879.457
