NO_OF_FRAMES	3291
NO_OF_CAMERAS	10
NO_OF_MARKERS	8
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:24:35.810	198772.96539480
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb	Middle	Ring	Pinky
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	Middle X	Middle Y	Middle Z	Ring X	Ring Y	Ring Z	Pinky X	Pinky Y	Pinky Z	
71	0.70000	1360.623	-544.813	1312.836	1352.378	-567.014	1024.989	1598.456	-559.166	1017.569	1771.939	-557.010	1034.761	1703.042	-612.978	1043.123	1783.551	-532.312	1030.178	1771.764	-505.372	1021.615	1749.658	-481.240	1006.249
72	0.71000	1360.601	-544.797	1312.822	1352.396	-566.965	1024.982	1598.438	-559.186	1017.588	1771.843	-556.866	1034.610	1703.054	-612.980	1043.195	1783.671	-532.415	1030.201	1771.839	-505.421	1021.570	1749.395	-481.538	1006.095
73	0.72000	1360.645	-544.790	1312.805	1352.401	-567.041	1025.007	1598.454	-559.177	1017.564	1771.983	-557.020	1034.711	1703.063	-612.960	1043.201	1783.645	-532.285	1030.044	1771.809	-505.461	1021.355	1749.304	-481.447	1005.903
74	0.73000	1360.666	-544.817	1312.807	1352.402	-567.014	1025.031	1598.449	-559.167	1017.579	1771.863	-556.850	1034.546	1703.052	-612.904	1043.186	1783.799	-532.351	1030.058	1771.802	-505.394	1021.254	1749.359	-481.581	1005.843
75	0.74000	1360.673	-544.806	1312.797	1352.445	-567.007	1025.024	1598.470	-559.107	1017.536	1771.861	-556.791	1034.547	1703.057	-612.913	1043.154	1783.844	-532.311	1029.952	1771.789	-505.386	1021.231	1749.459	-481.559	1005.876
76	0.75000	1360.666	-544.816	1312.810	1352.445	-567.029	1025.002	1598.451	-559.152	1017.570	1771.901	-556.760	1034.573	1703.110	-612.912	1043.218	1783.778	-532.173	1029.890	1771.893	-505.315	1021.296	1749.445	-481.611	1005.876
77	0.76000	1360.703	-544.802	1312.825	1352.421	-566.986	1025.002	1598.494	-559.088	1017.527	1771.900	-556.778	1034.583	1703.097	-612.870	1043.201	1783.757	-532.139	1029.915	1771.834	-505.381	1021.236	1749.473	-481.691	1005.922
78	0.77000	1360.712	-544.801	1312.795	1352.445	-567.007	1025.023	1598.480	-559.091	1017.541	1772.095	-556.846	1034.852	1703.082	-612.883	1043.208	1783.851	-532.263	1030.023	1771.877	-505.343	1021.278	1749.526	-481.707	1005.943
79	0.78000	1360.715	-544.787	1312.808	1352.421	-566.987	1025.002	1598.464	-559.097	1017.561	1771.819	-556.796	1034.615	1703.084	-612.882	1043.214	1783.725	-532.159	1029.887	1771.843	-505.410	1021.329	1749.507	-481.748	1005.959
80	0.79000	1360.724	-544.796	1312.776	1352.404	-567.009	1025.032	1598.441	-559.176	1017.569	1771.951	-556.687	1034.765	1703.128	-612.891	1043.192	1783.723	-532.156	1029.949	1771.856	-505.383	1021.326	1749.474	-481.841	1005.916
81	0.80000	1360.719	-544.794	1312.776	1352.426	-567.064	1025.026	1598.444	-559.099	1017.529	1772.069	-556.884	1034.878	1703.065	-612.855	1043.189	1783.702	-532.151	1029.931	1771.793	-505.366	1021.282	1749.451	-481.895	1005.833
82	0.81000	1360.719	-544.801	1312.783	1352.401	-567.042	1025.006	1598.439	-559.169	1017.594	1771.790	-556.817	1034.579	1703.079	-612.853	1043.161	1783.704	-532.167	1029.918	1771.781	-505.389	1021.221	1749.475	-481.968	1005.718
83	0.82000	1360.729	-544.809	1312.751	1352.470	-567.050	1025.022	1598.497	-559.114	1017.533	1771.927	-557.000	1034.720	1703.128	-612.867	1043.210	1783.726	-532.144	1029.888	1771.791	-505.420	1021.185	1749.599	-482.002	1005.711
84	0.83000	1360.723	-544.745	1312.740	1352.445	-567.029	1025.001	1598.494	-559.113	1017.574	1772.024	-556.887	1034.860	1703.068	-612.850	1043.288	1783.728	-532.160	1029.874	1771.849	-505.401	1021.178	1749.663	-482.091	1005.715
85	0.84000	1360.739	-544.820	1312.804	1352.401	-567.042	1025.006	1598.485	-559.162	1017.597	1771.944	-556.994	1034.751	1703.078	-612.840	1043.266	1783.788	-532.162	1029.937	1771.828	-505.388	1021.242	1749.701	-482.130	1005.715
86	0.85000	1360.732	-544.779	1312.784	1352.401	-567.043	1025.005	1598.479	-559.159	1017.581	1771.952	-556.727	1034.784	1703.104	-612.877	1043.268	1783.731	-532.174	1029.927	1771.882	-505.418	1021.329	1749.680	-482.243	1005.672
87	0.86000	1360.748	-544.836	1312.766	1352.445	-567.029	1025.001	1598.469	-559.099	1017.525	1771.944	-556.950	1034.716	1703.103	-612.813	1043.229	1783.756	-532.171	1029.923	1771.760	-505.433	1021.231	1749.720	-482.278	1005.636
88	0.87000	1360.768	-544.807	1312.750	1352.445	-567.030	1025.000	1598.477	-559.166	1017.548	1771.986	-556.970	1034.686	1703.122	-612.854	1043.238	1783.760	-532.156	1029.909	1771.848	-505.412	1021.251	1749.723	-482.368	1005.566
89	0.88000	1360.766	-544.803	1312.755	1352.401	-567.043	1025.005	1598.451	-559.148	1017.583	1771.955	-557.003	1034.758	1703.102	-612.854	1043.282	1783.752	-532.224	1029.953	1771.805	-505.450	1021.208	1749.683	-482.468	1005.466
