NO_OF_FRAMES	1727
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:13:29.900	198107.01191620
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
77	0.76000	1237.391	-455.432	1415.249	1251.305	-519.709	1112.413	1380.471	-418.044	915.499	1539.398	-412.874	878.903	1486.434	-382.660	876.694
78	0.77000	1237.423	-455.501	1415.219	1251.379	-519.802	1112.365	1380.481	-418.011	915.514	1539.440	-412.837	878.895	1486.419	-382.632	876.709
79	0.78000	1237.449	-455.552	1415.189	1251.435	-519.847	1112.363	1380.427	-418.030	915.480	1539.461	-412.838	878.861	1486.458	-382.622	876.676
80	0.79000	1237.476	-455.575	1415.185	1251.439	-519.951	1112.444	1380.467	-418.008	915.495	1539.442	-412.821	878.866	1486.431	-382.644	876.690
81	0.80000	1237.451	-455.649	1415.160	1251.459	-519.961	1112.413	1380.421	-418.043	915.482	1539.450	-412.857	878.886	1486.430	-382.672	876.655
82	0.81000	1237.420	-455.712	1415.169	1251.495	-519.946	1112.369	1380.471	-418.058	915.509	1539.432	-412.860	878.887	1486.421	-382.690	876.633
83	0.82000	1237.403	-455.761	1415.137	1251.457	-520.046	1112.426	1380.410	-418.085	915.463	1539.408	-412.884	878.902	1486.486	-382.666	876.732
84	0.83000	1237.329	-455.847	1415.138	1251.417	-520.051	1112.356	1380.416	-418.106	915.490	1539.430	-412.872	878.912	1486.463	-382.698	876.707
85	0.84000	1237.243	-455.917	1415.106	1251.373	-520.077	1112.374	1380.449	-418.105	915.528	1539.414	-412.908	878.894	1486.408	-382.691	876.652
86	0.85000	1237.185	-455.985	1415.114	1251.332	-520.096	1112.325	1380.457	-418.075	915.502	1539.426	-412.875	878.897	1486.473	-382.639	876.724
87	0.86000	1237.076	-456.111	1415.073	1251.309	-520.118	1112.293	1380.449	-418.076	915.483	1539.431	-412.859	878.887	1486.426	-382.647	876.652
88	0.87000	1236.984	-456.122	1415.021	1251.211	-520.064	1112.250	1380.404	-418.092	915.459	1539.455	-412.882	878.922	1486.461	-382.645	876.662
89	0.88000	1236.913	-456.238	1415.010	1251.163	-520.104	1112.216	1380.430	-418.129	915.495	1539.420	-412.884	878.889	1486.476	-382.742	876.640
90	0.89000	1236.747	-456.335	1414.953	1251.059	-520.102	1112.176	1380.438	-418.144	915.488	1539.385	-412.922	878.916	1486.460	-382.722	876.694
91	0.90000	1236.579	-456.304	1414.931	1250.957	-520.121	1112.146	1380.401	-418.153	915.503	1539.422	-412.923	878.923	1486.424	-382.707	876.691
92	0.91000	1236.438	-456.336	1414.867	1250.911	-520.126	1112.098	1380.334	-418.145	915.480	1539.405	-412.910	878.890	1486.433	-382.724	876.679
93	0.92000	1236.295	-456.341	1414.829	1250.826	-520.146	1112.061	1380.342	-418.185	915.502	1539.379	-412.921	878.872	1486.422	-382.753	876.661
94	0.93000	1236.154	-456.329	1414.788	1250.682	-520.199	1112.085	1380.363	-418.215	915.559	1539.397	-412.936	878.901	1486.408	-382.801	876.714
95	0.94000	1235.887	-456.324	1414.755	1250.581	-520.224	1112.018	1380.390	-418.367	915.683	1539.411	-412.955	878.913	1486.354	-382.888	876.756
96	0.95000	1235.646	-456.339	1414.700	1250.398	-520.261	1112.040	1380.441	-418.499	915.824	1539.375	-413.006	878.933	1486.339	-382.957	876.836
97	0.96000	1235.435	-456.171	1414.554	1250.142	-520.395	1112.039	1380.532	-418.807	916.112	1539.295	-413.045	878.953	1486.229	-383.150	876.956
98	0.97000	1235.239	-455.974	1414.436	1249.685	-520.557	1112.071	1380.467	-419.152	916.463	1539.112	-413.213	878.895	1485.956	-383.211	877.036
99	0.98000	1235.020	-455.676	1414.161	1248.985	-520.800	1111.955	1380.332	-419.767	916.854	1538.770	-413.376	878.949	1485.482	-383.414	877.053
100	0.99000	1234.696	-455.118	1413.589	1248.047	-521.324	1111.933	1380.584	-420.885	917.726	1538.338	-413.549	879.057	1485.140	-383.795	877.283
101	1.00000	1234.193	-454.684	1412.903	1246.477	-522.075	1111.609	1380.227	-422.049	918.397	1537.710	-413.877	879.181	1484.819	-384.840	877.360
102	1.01000	1233.603	-454.296	1412.307	1244.542	-522.885	1111.541	1380.166	-423.971	919.484	1537.172	-414.157	879.231	1484.219	-385.601	877.456
103	1.02000	1232.906	-454.107	1411.550	1242.007	-523.683	1110.987	1380.497	-425.630	921.157	1536.731	-414.452	879.240	1483.972	-387.829	877.540
104	1.03000	1231.928	-454.128	1410.751	1239.004	-524.850	1110.383	1380.065	-427.546	922.257	1535.976	-415.096	879.051	1483.795	-389.702	878.114
105	1.04000	1231.019	-454.250	1409.888	1235.689	-526.345	1109.860	1379.928	-429.802	924.118	1534.945	-416.139	879.029	1483.335	-391.967	878.532
106	1.05000	1229.881	-454.118	1408.791	1232.134	-527.991	1109.438	1379.236	-432.573	925.771	1533.600	-417.395	879.087	1482.035	-394.651	878.793
107	1.06000	1228.964	-454.376	1407.917	1228.251	-529.982	1108.809	1377.836	-435.396	927.074	1531.602	-418.669	878.942	1480.451	-396.481	879.536
108	1.07000	1227.807	-454.432	1407.040	1224.243	-532.048	1108.359	1376.406	-438.169	928.861	1529.018	-420.596	879.108	1477.915	-398.033	880.317
109	1.08000	1226.697	-454.452	1406.039	1219.990	-534.247	1108.143	1373.846	-441.161	929.491	1525.715	-422.114	879.381	1474.527	-400.043	880.726
110	1.09000	1225.840	-454.691	1405.488	1215.760	-536.511	1108.294	1370.875	-443.832	930.653	1521.738	-424.101	880.027	1471.093	-401.780	882.121
111	1.10000	1225.061	-454.930	1405.169	1211.683	-538.855	1108.563	1367.381	-446.425	931.642	1517.197	-426.115	880.705	1467.125	-403.597	882.544
112	1.11000	1224.368	-455.085	1404.866	1207.437	-541.163	1108.971	1363.518	-448.965	932.610	1512.222	-427.883	881.314	1462.969	-405.408	882.770
113	1.12000	1223.854	-455.324	1404.898	1203.439	-543.145	1110.119	1359.219	-451.138	933.558	1506.915	-429.756	881.429	1458.537	-407.547	882.564
114	1.13000	1223.486	-455.409	1405.046	1199.328	-544.907	1111.025	1355.014	-453.178	934.556	1501.388	-431.796	881.450	1452.356	-410.131	880.686
115	1.14000	1223.121	-455.525	1405.336	1195.354	-546.464	1111.954	1350.519	-454.735	934.871	1495.288	-433.448	880.267	1449.361	-410.790	881.761
116	1.15000	1222.716	-455.647	1405.848	1191.379	-547.697	1113.036	1346.765	-456.477	936.171	1488.929	-434.763	878.772	1444.362	-412.332	880.768
117	1.16000	1222.208	-455.798	1406.110	1187.627	-548.566	1114.018	1342.716	-457.788	936.820	1482.757	-435.739	877.728	1439.664	-413.146	880.182
118	1.17000	1221.694	-456.019	1406.324	1183.893	-549.417	1114.891	1338.796	-458.639	937.189	1476.619	-435.664	877.188	1435.242	-413.970	879.678
119	1.18000	1221.137	-456.239	1406.459	1180.351	-549.930	1115.559	1335.414	-459.660	937.999	1470.756	-435.515	877.085	1431.750	-414.342	880.058
120	1.19000	1220.568	-456.444	1406.539	1176.898	-550.341	1116.040	1332.101	-459.981	938.495	1465.735	-435.726	877.530	1428.252	-415.076	880.023
121	1.20000	1219.959	-456.674	1406.435	1173.758	-550.535	1116.321	1329.063	-460.398	938.972	1461.571	-435.958	878.386	1424.937	-415.211	880.168
122	1.21000	1219.198	-456.915	1406.259	1170.624	-550.738	1116.148	1325.980	-460.336	939.088	1457.660	-435.900	878.791	1421.874	-415.283	880.194
