NO_OF_FRAMES	2000
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:12:23.192	198040.29905730
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
61	0.60000	1219.594	-460.565	1398.754	1155.065	-539.932	1100.210	1317.690	-471.380	923.549	1437.084	-479.421	873.656	1423.951	-455.709	876.228
62	0.61000	1219.830	-460.478	1398.747	1155.066	-540.118	1100.413	1317.706	-471.429	923.517	1437.124	-479.403	873.639	1423.837	-455.565	876.076
63	0.62000	1220.024	-460.268	1398.603	1155.227	-539.979	1100.421	1317.722	-471.460	923.621	1437.126	-479.426	873.661	1423.857	-455.538	876.103
64	0.63000	1220.257	-460.205	1398.664	1155.195	-540.172	1100.589	1317.709	-471.508	923.613	1437.162	-479.443	873.678	1423.838	-455.571	876.127
65	0.64000	1220.497	-460.123	1398.635	1155.254	-540.200	1100.689	1317.739	-471.526	923.662	1437.130	-479.544	873.671	1423.982	-455.752	876.304
66	0.65000	1220.759	-460.085	1398.688	1155.303	-540.200	1100.732	1317.633	-471.533	923.569	1437.157	-479.480	873.657	1423.821	-455.586	876.097
67	0.66000	1220.958	-460.019	1398.739	1155.354	-540.271	1100.860	1317.679	-471.534	923.626	1437.103	-479.493	873.668	1423.920	-455.776	876.253
68	0.67000	1221.267	-459.789	1398.800	1155.380	-540.309	1100.925	1317.602	-471.533	923.639	1437.093	-479.444	873.634	1423.923	-455.759	876.218
69	0.68000	1221.485	-459.678	1398.840	1155.379	-540.354	1101.003	1317.594	-471.554	923.704	1437.096	-479.418	873.638	1423.763	-455.581	876.067
70	0.69000	1221.734	-459.593	1398.821	1155.326	-540.428	1101.092	1317.708	-471.623	923.907	1437.136	-479.448	873.678	1423.971	-455.779	876.285
71	0.70000	1221.958	-459.456	1398.786	1155.277	-540.446	1101.184	1317.684	-471.740	924.094	1437.138	-479.479	873.643	1423.923	-455.821	876.295
72	0.71000	1222.263	-459.316	1398.803	1155.091	-540.499	1101.291	1317.754	-471.849	924.346	1437.136	-479.569	873.657	1423.960	-455.879	876.323
73	0.72000	1222.641	-459.205	1398.708	1154.872	-540.490	1101.421	1317.923	-472.203	924.987	1437.137	-479.649	873.646	1423.987	-455.896	876.355
74	0.73000	1222.995	-459.071	1398.624	1154.531	-540.514	1101.587	1317.980	-472.512	925.471	1437.152	-479.587	873.646	1423.914	-455.951	876.343
75	0.74000	1223.458	-459.063	1398.483	1154.064	-540.440	1101.812	1318.302	-473.154	926.321	1437.113	-479.662	873.636	1423.876	-455.965	876.354
76	0.75000	1223.985	-459.026	1398.314	1153.348	-540.441	1102.007	1318.545	-473.534	927.098	1437.204	-479.682	873.619	1423.927	-455.965	876.378
77	0.76000	1224.541	-459.135	1398.076	1152.521	-540.563	1102.187	1319.201	-473.882	928.644	1437.271	-479.736	873.525	1424.064	-456.024	876.415
78	0.77000	1225.204	-459.224	1397.901	1151.744	-540.627	1102.463	1319.906	-474.564	930.739	1437.547	-479.875	873.524	1424.398	-456.140	876.573
79	0.78000	1226.052	-459.353	1397.643	1150.762	-540.799	1102.670	1320.541	-475.096	932.420	1438.154	-479.926	873.503	1425.019	-456.284	876.889
80	0.79000	1226.989	-459.574	1397.518	1149.774	-541.100	1102.973	1321.837	-475.251	935.269	1439.172	-479.626	874.005	1426.373	-456.371	878.800
81	0.80000	1227.978	-459.704	1397.377	1148.924	-541.529	1103.588	1323.410	-475.803	938.430	1441.036	-479.269	876.355	1427.862	-455.938	881.313
82	0.81000	1228.999	-459.896	1397.259	1148.394	-541.959	1104.204	1325.032	-475.738	941.874	1443.403	-478.947	879.531	1430.464	-455.541	885.377
83	0.82000	1230.015	-460.084	1397.246	1148.228	-542.433	1104.968	1327.160	-475.574	945.634	1446.387	-478.872	883.522	1433.805	-455.498	890.547
84	0.83000	1230.981	-460.197	1397.270	1148.571	-542.682	1105.646	1329.872	-475.195	949.793	1450.199	-478.596	888.482	1437.006	-454.880	895.079
85	0.84000	1231.783	-460.422	1397.426	1149.559	-542.957	1106.416	1332.705	-474.491	953.482	1454.768	-477.891	893.990	1441.486	-454.081	900.850
86	0.85000	1232.700	-460.489	1397.641	1151.046	-543.282	1107.098	1335.991	-473.171	956.920	1459.884	-476.479	899.731	1446.151	-452.295	906.333
87	0.86000	1233.494	-460.626	1397.907	1153.319	-543.293	1107.339	1340.334	-471.684	961.106	1465.516	-474.490	905.490	1451.511	-449.890	912.436
88	0.87000	1234.308	-460.581	1398.160	1156.300	-543.184	1107.287	1345.169	-469.835	964.768	1472.199	-471.505	912.015	1457.215	-446.855	918.653
89	0.88000	1235.131	-460.516	1398.399	1159.803	-543.135	1107.176	1350.452	-467.402	968.425	1479.370	-468.164	918.269	1463.615	-443.638	924.273
90	0.89000	1235.797	-460.358	1398.593	1164.049	-542.999	1106.831	1356.448	-464.725	972.200	1487.439	-464.185	924.765	1470.555	-439.845	930.474
91	0.90000	1236.501	-460.183	1398.703	1169.019	-542.677	1106.221	1363.346	-461.687	976.067	1496.058	-459.763	931.557	1478.079	-435.585	936.620
92	0.91000	1237.182	-459.956	1398.765	1174.503	-542.114	1105.488	1370.376	-458.308	979.670	1504.948	-454.426	937.983	1485.788	-430.673	942.803
93	0.92000	1237.879	-459.570	1398.801	1180.486	-541.774	1104.682	1378.704	-454.538	984.291	1514.475	-448.658	944.691	1493.850	-424.982	948.926
