NO_OF_FRAMES	963
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:07:27.539	197744.62702840
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Mixed
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
52	0.51000	1182.270	-525.889	1403.870	1153.032	-593.597	1096.331	1325.525	-502.504	932.141	1444.569	-480.913	873.700	1426.428	-463.456	876.950
53	0.52000	1182.287	-525.886	1403.831	1153.020	-593.601	1096.353	1325.557	-502.459	932.141	1444.567	-480.915	873.665	1426.433	-463.476	876.922
54	0.53000	1182.291	-525.874	1403.822	1152.999	-593.574	1096.349	1325.538	-502.441	932.095	1444.572	-480.901	873.653	1426.414	-463.463	876.908
55	0.54000	1182.286	-525.872	1403.868	1153.004	-593.584	1096.342	1325.538	-502.481	932.133	1444.563	-480.931	873.643	1426.384	-463.483	876.899
56	0.55000	1182.266	-525.861	1403.826	1153.002	-593.559	1096.383	1325.545	-502.481	932.140	1444.599	-480.927	873.672	1426.427	-463.440	876.956
57	0.56000	1182.248	-525.892	1403.850	1152.967	-593.572	1096.367	1325.539	-502.453	932.137	1444.598	-480.915	873.684	1426.444	-463.500	876.954
58	0.57000	1182.256	-525.880	1403.860	1152.978	-593.621	1096.395	1325.511	-502.490	932.151	1444.630	-480.927	873.695	1426.445	-463.479	876.935
59	0.58000	1182.263	-525.851	1403.852	1152.969	-593.559	1096.367	1325.538	-502.481	932.163	1444.622	-480.941	873.678	1426.486	-463.451	876.975
60	0.59000	1182.284	-525.865	1403.880	1153.027	-593.555	1096.370	1325.507	-502.481	932.138	1444.566	-480.938	873.632	1426.396	-463.471	876.892
61	0.60000	1182.284	-525.820	1403.885	1153.005	-593.595	1096.440	1325.498	-502.471	932.106	1444.573	-480.931	873.650	1426.437	-463.427	876.922
62	0.61000	1182.306	-525.836	1403.910	1153.028	-593.573	1096.417	1325.524	-502.451	932.159	1444.578	-480.910	873.651	1426.421	-463.444	876.928
63	0.62000	1182.330	-525.828	1403.943	1153.047	-593.597	1096.431	1325.566	-502.463	932.173	1444.587	-480.900	873.686	1426.435	-463.453	876.920
64	0.63000	1182.330	-525.826	1403.962	1153.105	-593.597	1096.431	1325.557	-502.469	932.213	1444.636	-480.917	873.693	1426.472	-463.439	876.961
65	0.64000	1182.312	-525.877	1404.049	1153.098	-593.603	1096.476	1325.571	-502.468	932.218	1444.626	-480.954	873.689	1426.459	-463.447	876.975
66	0.65000	1182.313	-525.914	1404.155	1153.113	-593.619	1096.523	1325.657	-502.417	932.294	1444.617	-480.924	873.690	1426.520	-463.461	877.008
67	0.66000	1182.366	-525.797	1404.048	1153.150	-593.611	1096.514	1325.507	-502.479	932.170	1444.627	-480.939	873.685	1426.438	-463.447	876.959
68	0.67000	1182.364	-525.801	1404.027	1153.191	-593.629	1096.510	1325.517	-502.490	932.177	1444.585	-480.886	873.639	1426.442	-463.450	876.932
69	0.68000	1182.386	-525.790	1404.057	1153.207	-593.660	1096.530	1325.508	-502.485	932.187	1444.584	-480.892	873.655	1426.412	-463.423	876.916
70	0.69000	1182.393	-525.785	1404.057	1153.224	-593.664	1096.569	1325.484	-502.491	932.176	1444.590	-480.917	873.671	1426.416	-463.453	876.950
71	0.70000	1182.418	-525.900	1404.270	1153.214	-593.674	1096.576	1325.581	-502.480	932.321	1444.647	-480.928	873.682	1426.434	-463.469	876.939
72	0.71000	1182.381	-525.931	1404.263	1153.259	-593.710	1096.624	1325.550	-502.513	932.234	1444.654	-480.904	873.709	1426.450	-463.471	877.002
73	0.72000	1182.450	-525.936	1404.258	1153.303	-593.733	1096.621	1325.518	-502.519	932.216	1444.592	-480.936	873.671	1426.431	-463.444	876.911
74	0.73000	1182.475	-525.904	1404.283	1153.313	-593.740	1096.655	1325.565	-502.510	932.216	1444.591	-480.919	873.648	1426.367	-463.456	876.912
75	0.74000	1182.508	-525.813	1404.274	1153.348	-593.749	1096.665	1325.551	-502.492	932.203	1444.622	-480.938	873.669	1426.438	-463.472	876.943
76	0.75000	1182.528	-525.868	1404.397	1153.387	-593.774	1096.692	1325.527	-502.537	932.227	1444.613	-480.907	873.690	1426.396	-463.432	876.911
77	0.76000	1182.534	-525.849	1404.417	1153.432	-593.769	1096.689	1325.539	-502.527	932.249	1444.596	-480.909	873.657	1426.413	-463.431	876.932
78	0.77000	1182.561	-525.897	1404.392	1153.458	-593.801	1096.693	1325.529	-502.530	932.220	1444.627	-480.930	873.657	1426.392	-463.480	876.911
79	0.78000	1182.590	-525.884	1404.432	1153.478	-593.794	1096.750	1325.556	-502.512	932.233	1444.604	-480.932	873.668	1426.470	-463.459	876.977
80	0.79000	1182.613	-525.887	1404.487	1153.490	-593.830	1096.764	1325.531	-502.517	932.234	1444.598	-480.905	873.689	1426.424	-463.437	876.967
81	0.80000	1182.643	-525.871	1404.514	1153.524	-593.844	1096.772	1325.566	-502.556	932.224	1444.638	-480.950	873.709	1426.454	-463.476	876.961
82	0.81000	1182.707	-525.850	1404.506	1153.558	-593.838	1096.761	1325.543	-502.501	932.217	1444.630	-480.911	873.647	1426.443	-463.461	876.937
83	0.82000	1182.738	-525.793	1404.456	1153.593	-593.898	1096.823	1325.532	-502.523	932.214	1444.621	-480.908	873.660	1426.454	-463.442	876.957
84	0.83000	1182.745	-525.845	1404.537	1153.671	-593.887	1096.830	1325.571	-502.514	932.261	1444.566	-480.908	873.622	1426.474	-463.438	876.976
85	0.84000	1182.785	-525.935	1404.606	1153.685	-593.904	1096.854	1325.589	-502.531	932.240	1444.610	-480.902	873.646	1426.433	-463.482	876.967
86	0.85000	1182.806	-525.839	1404.592	1153.688	-593.909	1096.878	1325.562	-502.547	932.208	1444.602	-480.929	873.645	1426.465	-463.488	876.975
