NO_OF_FRAMES	719
NO_OF_CAMERAS	10
NO_OF_MARKERS	8
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:29:07.453	199044.62658890
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb	Middle	Ring	Pinky
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Mixed
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	Middle X	Middle Y	Middle Z	Ring X	Ring Y	Ring Z	Pinky X	Pinky Y	Pinky Z	
50	0.49000	1567.090	89.893	1333.161	1549.682	91.718	1028.729	1798.736	99.028	1028.091	1977.846	96.010	1009.047	1902.750	46.456	1051.270	1988.739	122.808	1011.823	1972.342	152.533	1017.779	1950.563	168.179	1016.839
51	0.50000	1567.119	89.860	1333.150	1549.697	91.750	1028.758	1798.752	98.968	1028.180	1977.830	95.999	1009.079	1902.782	46.446	1051.284	1988.750	122.840	1011.826	1972.376	152.534	1017.754	1950.589	168.178	1016.819
52	0.51000	1567.118	89.844	1333.161	1549.718	91.795	1028.722	1798.759	98.942	1028.197	1977.858	96.015	1009.095	1902.771	46.487	1051.246	1988.706	122.793	1011.832	1972.370	152.498	1017.756	1950.578	168.148	1016.852
53	0.52000	1567.105	89.837	1333.170	1549.707	91.703	1028.741	1798.764	98.998	1028.169	1977.848	95.976	1009.099	1902.732	46.491	1051.226	1988.737	122.763	1011.877	1972.377	152.506	1017.773	1950.611	168.104	1016.854
54	0.53000	1567.115	89.860	1333.160	1549.741	91.796	1028.753	1798.730	98.980	1028.165	1977.835	95.959	1009.057	1902.753	46.442	1051.237	1988.776	122.776	1011.905	1972.410	152.476	1017.777	1950.606	168.141	1016.843
55	0.54000	1567.125	89.885	1333.174	1549.696	91.747	1028.756	1798.780	98.962	1028.181	1977.871	95.981	1009.063	1902.736	46.496	1051.217	1988.776	122.804	1011.855	1972.385	152.464	1017.743	1950.621	168.147	1016.855
56	0.55000	1567.101	89.922	1333.196	1549.719	91.807	1028.761	1798.714	98.953	1028.150	1977.867	95.984	1009.074	1902.743	46.486	1051.199	1988.702	122.795	1011.799	1972.395	152.504	1017.730	1950.629	168.178	1016.804
57	0.56000	1567.059	89.900	1333.194	1549.722	91.733	1028.768	1798.732	98.944	1028.147	1977.869	96.007	1009.061	1902.774	46.455	1051.309	1988.701	122.800	1011.814	1972.408	152.577	1017.717	1950.623	168.184	1016.767
58	0.57000	1567.046	89.893	1333.159	1549.745	91.772	1028.746	1798.722	98.980	1028.151	1977.854	95.989	1009.069	1902.775	46.497	1051.235	1988.691	122.787	1011.804	1972.408	152.541	1017.715	1950.602	168.188	1016.739
59	0.58000	1567.006	89.910	1333.174	1549.740	91.754	1028.740	1798.736	98.932	1028.167	1977.860	95.974	1009.070	1902.780	46.449	1051.281	1988.700	122.777	1011.819	1972.406	152.509	1017.720	1950.652	168.198	1016.785
60	0.59000	1566.923	89.871	1333.180	1549.716	91.794	1028.751	1798.757	98.928	1028.196	1977.822	95.940	1009.057	1902.792	46.475	1051.280	1988.735	122.751	1011.869	1972.425	152.470	1017.710	1950.669	168.135	1016.799
61	0.60000	1566.884	89.878	1333.168	1549.691	91.775	1028.768	1798.716	98.918	1028.177	1977.863	95.940	1009.074	1902.712	46.372	1051.263	1988.683	122.670	1011.743	1972.466	152.463	1017.755	1950.656	168.123	1016.756
62	0.61000	1566.808	89.894	1333.182	1549.667	91.810	1028.771	1798.735	98.945	1028.188	1977.843	95.933	1009.061	1902.699	46.451	1051.266	1988.633	122.648	1011.718	1972.425	152.465	1017.695	1950.642	168.142	1016.744
63	0.62000	1566.776	89.881	1333.178	1549.689	91.823	1028.726	1798.711	98.913	1028.178	1977.804	95.927	1009.042	1902.700	46.434	1051.245	1988.656	122.731	1011.799	1972.376	152.442	1017.668	1950.629	168.142	1016.738
64	0.63000	1566.704	89.947	1333.160	1549.640	91.781	1028.714	1798.741	98.908	1028.201	1977.799	95.921	1009.032	1902.731	46.390	1051.231	1988.638	122.669	1011.710	1972.374	152.442	1017.675	1950.599	168.156	1016.686
65	0.64000	1566.667	89.961	1333.155	1549.676	91.740	1028.770	1798.703	98.901	1028.158	1977.801	95.924	1009.005	1902.695	46.409	1051.223	1988.588	122.660	1011.689	1972.379	152.446	1017.613	1950.615	168.095	1016.706
66	0.65000	1566.582	89.903	1333.223	1549.618	91.768	1028.760	1798.736	98.929	1028.166	1977.805	95.921	1008.997	1902.654	46.425	1051.229	1988.574	122.654	1011.679	1972.431	152.412	1017.630	1950.620	168.081	1016.663
67	0.66000	1566.507	89.941	1333.249	1549.672	91.748	1028.787	1798.719	98.930	1028.182	1977.765	95.895	1009.077	1902.656	46.436	1051.233	1988.593	122.658	1011.736	1972.428	152.415	1017.567	1950.639	168.117	1016.639
68	0.67000	1566.397	89.909	1333.242	1549.648	91.789	1028.798	1798.726	98.895	1028.177	1977.777	95.884	1009.038	1902.691	46.406	1051.231	1988.592	122.622	1011.737	1972.240	152.263	1017.165	1950.682	168.108	1016.675
69	0.68000	1566.291	89.930	1333.250	1549.599	91.746	1028.787	1798.690	98.888	1028.177	1977.750	95.873	1008.989	1902.641	46.441	1051.277	1988.539	122.651	1011.667	1972.216	152.219	1016.956	1950.722	168.115	1016.586
70	0.69000	1566.240	89.949	1333.257	1549.670	91.788	1028.771	1798.706	98.913	1028.196	1977.743	95.883	1008.968	1902.632	46.474	1051.232	1988.543	122.655	1011.619	1972.298	152.226	1016.898	1950.737	168.123	1016.559
71	0.70000	1566.122	89.920	1333.290	1549.644	91.781	1028.827	1798.696	98.904	1028.161	1977.747	95.863	1008.947	1902.620	46.439	1051.322	1988.541	122.646	1011.577	1972.304	152.039	1016.759	1950.843	168.133	1016.525
72	0.71000	1565.950	89.920	1333.323	1549.647	91.791	1028.804	1798.687	98.885	1028.180	1977.727	95.852	1008.967	1902.665	46.424	1051.311	1988.569	122.595	1011.560	1972.130	151.830	1016.359	1950.851	168.185	1016.443
73	0.72000	1565.775	89.945	1333.319	1549.672	91.830	1028.783	1798.702	98.880	1028.154	1977.720	95.859	1008.946	1902.663	46.416	1051.305	1988.592	122.614	1011.571	1972.144	151.785	1016.314	1950.861	168.185	1016.419
74	0.73000	1565.545	89.962	1333.305	1549.674	91.855	1028.774	1798.735	98.879	1028.186	1977.744	95.825	1008.937	1902.621	46.421	1051.301	1988.557	122.561	1011.484	1972.224	151.819	1016.327	1950.947	168.090	1016.494
75	0.74000	1565.292	89.962	1333.316	1549.644	91.876	1028.779	1798.694	98.905	1028.178	1977.667	95.810	1008.895	1902.597	46.387	1051.320	1988.574	122.518	1011.470	1972.230	151.777	1016.295	1950.948	168.091	1016.496
76	0.75000	1565.037	89.910	1333.344	1549.623	91.815	1028.826	1798.680	98.859	1028.166	1977.775	95.581	1009.028	1902.584	46.381	1051.342	1988.552	122.457	1011.475	1972.239	151.827	1016.147	1950.949	168.109	1016.412
77	0.76000	1564.700	89.968	1333.406	1549.623	91.831	1028.815	1798.647	98.866	1028.153	1977.621	95.743	1008.895	1902.553	46.370	1051.308	1988.499	122.409	1011.403	1972.275	151.849	1016.017	1950.754	167.979	1016.065
78	0.77000	1564.393	90.101	1333.377	1549.575	91.830	1028.815	1798.636	98.866	1028.177	1977.709	95.509	1009.022	1902.513	46.364	1051.391	1988.538	122.390	1011.251	1972.381	152.115	1015.810	1950.710	167.982	1015.811
79	0.78000	1563.912	89.873	1333.447	1549.599	91.869	1028.793	1798.632	98.843	1028.138	1977.707	95.478	1008.981	1902.489	46.370	1051.349	1988.535	122.326	1011.077	1972.418	152.242	1015.468	1950.755	167.980	1015.621
80	0.79000	1563.498	89.859	1333.493	1549.548	91.877	1028.812	1798.622	98.830	1028.176	1977.664	95.331	1008.894	1902.514	46.365	1051.390	1988.625	122.293	1010.951	1972.550	152.250	1015.099	1950.676	167.745	1015.115
81	0.80000	1562.991	89.827	1333.524	1549.527	91.864	1028.760	1798.628	98.814	1028.191	1977.659	95.279	1008.912	1902.485	46.347	1051.337	1988.611	122.252	1010.743	1972.634	152.332	1014.806	1950.731	167.705	1014.882
82	0.81000	1562.489	89.889	1333.558	1549.505	91.852	1028.805	1798.639	98.797	1028.203	1977.658	95.222	1008.882	1902.458	46.343	1051.396	1988.704	122.178	1010.569	1972.821	152.364	1014.506	1950.802	167.677	1014.662
